,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,Date
0,1101,台泥,6.82,109,12.27,1.48,110/1,2024-01-04
1,1102,亞泥,7.02,109,9.90,1.13,110/1,2024-01-04
2,1103,嘉泥,6.39,109,7.63,0.56,110/1,2024-01-04
3,1104,環泥,4.85,109,10.37,0.79,110/1,2024-01-04
4,1108,幸福,5.05,109,15.92,1.26,110/1,2024-01-04
5,1109,信大,5.75,109,7.46,1.15,110/1,2024-01-04
6,1110,東泥,0.64,109,130.42,1.05,110/1,2024-01-04
7,1201,味全,2.45,109,18.46,1.65,110/1,2024-01-04
8,1203,味王,3.13,109,18.90,1.59,110/1,2024-01-04
9,1210,大成,5.21,109,13.46,2.41,110/1,2024-01-04
10,1213,大飲,0.0,108,-,0.96,110/1,2024-01-04
11,1215,卜蜂,5.6,109,11.90,2.44,110/1,2024-01-04
12,1216,統一,3.68,109,18.51,3.49,110/1,2024-01-04
13,1217,愛之味,0.0,108,21.70,0.93,110/1,2024-01-04
14,1218,泰山,4.83,109,15.85,1.96,110/1,2024-01-04
15,1219,福壽,4.11,109,13.45,1.69,110/1,2024-01-04
16,1220,台榮,5.78,109,13.41,1.26,110/1,2024-01-04
17,1225,福懋油,3.06,109,20.07,2.86,110/1,2024-01-04
18,1227,佳格,4.66,109,15.39,2.66,110/1,2024-01-04
19,1229,聯華,5.64,109,14.78,1.89,110/1,2024-01-04
20,1231,聯華食,4.28,109,14.41,2.63,110/1,2024-01-04
21,1232,大統益,3.59,109,17.65,5.3,110/1,2024-01-04
22,1233,天仁,2.31,109,47.53,2.11,110/1,2024-01-04
23,1234,黑松,5.14,109,15.35,0.77,110/1,2024-01-04
24,1235,興泰,4.37,109,50.44,0.86,110/1,2024-01-04
25,1236,宏亞,1.25,109,36.36,1.05,110/1,2024-01-04
26,1256,鮮活果汁-KY,2.74,109,15.36,5.26,110/1,2024-01-04
27,1301,台塑,2.33,109,18.53,1.83,110/1,2024-01-04
28,1303,南亞,2.83,109,15.88,1.83,110/1,2024-01-04
29,1304,台聚,2.76,109,11.29,1.73,110/1,2024-01-04
30,1305,華夏,6.3,109,9.41,1.91,110/1,2024-01-04
31,1307,三芳,2.18,109,28.69,1.16,110/1,2024-01-04
32,1308,亞聚,4.31,109,12.50,1.45,110/1,2024-01-04
33,1309,台達化,7.07,109,6.45,2.12,110/1,2024-01-04
34,1310,台苯,2.37,109,13.27,1.46,110/1,2024-01-04
35,1312,國喬,0.33,109,4.62,0.91,110/1,2024-01-04
36,1313,聯成,3.75,109,8.08,1.35,110/1,2024-01-04
37,1314,中石化,2.24,108,32.68,0.62,110/1,2024-01-04
38,1315,達新,10.54,109,1.86,0.84,110/1,2024-01-04
39,1316,上曜,0.0,108,36.13,1.06,110/1,2024-01-04
40,1319,東陽,2.38,109,28.72,0.91,110/1,2024-01-04
41,1321,大洋,2.75,109,12.10,1.1,110/1,2024-01-04
42,1323,永裕,4.69,109,11.02,1.46,110/1,2024-01-04
43,1324,地球,2.75,109,155.71,0.85,110/1,2024-01-04
44,1325,恆大,12.99,109,3.92,2.03,110/1,2024-01-04
45,1326,台化,2.92,109,13.52,1.36,110/1,2024-01-04
46,1337,再生-KY,0.0,108,-,0.38,110/1,2024-01-04
47,1338,廣華-KY,5.47,109,12.70,0.83,110/1,2024-01-04
48,1339,昭輝,5.3,109,26.40,0.79,110/1,2024-01-04
49,1340,勝悅-KY,0.0,108,-,0.32,110/1,2024-01-04
50,1341,富林-KY,7.59,109,11.19,2.91,110/1,2024-01-04
51,1342,八貫,4.74,109,19.03,2.37,110/1,2024-01-04
