,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,112年09月30日,112年09月30日,111年12月31日,111年12月31日,111年09月30日,111年09月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,1311806535.0,23.92,1342814083.0,27.05,1296012784.0,27.91,,
2,透過損益按公允價值衡量之金融資產－流動,378526.0,0.01,1070398.0,0.02,4705434.0,0.1,,
3,透過其他綜合損益按公允價值衡量之金融資產－流動,154838390.0,2.82,122998543.0,2.48,126209422.0,2.72,,
4,按攤銷後成本衡量之金融資產－流動,84261089.0,1.54,94600219.0,1.91,71857468.0,1.55,,
5,避險之金融資產－流動,37451.0,0.0,2329.0,0.0,88431.0,0.0,,
6,應收帳款淨額,222467653.0,4.06,229755887.0,4.63,260447134.0,5.61,,
7,應收帳款－關係人淨額,356257.0,0.01,1583958.0,0.03,1091174.0,0.02,,
8,其他應收款－關係人淨額,82363.0,0.0,68975.0,0.0,76143.0,0.0,,
9,存貨,262090072.0,4.78,221149148.0,4.45,218335874.0,4.7,,
10,其他流動資產,46159300.0,0.84,38853204.0,0.78,35408494.0,0.76,,
11,流動資產合計,2082477636.0,37.97,2052896744.0,41.35,2014232358.0,43.38,,
12,非流動資產,,,,,,,,
13,透過損益按公允價值衡量之金融資產－非流動,111637.0,0.0,0.0,0.0,0.0,0.0,,
14,透過其他綜合損益按公允價值衡量之金融資產－非流動,7933799.0,0.14,6159200.0,0.12,6784978.0,0.15,,
15,按攤銷後成本衡量之金融資產－非流動,79379651.0,1.45,35127215.0,0.71,42347584.0,0.91,,
16,採用權益法之投資,28921558.0,0.53,27641505.0,0.56,26663336.0,0.57,,
17,不動產、廠房及設備,3132664367.0,57.12,2693836970.0,54.26,2411490251.0,51.93,,
18,使用權資產,41254711.0,0.75,41914136.0,0.84,42349743.0,0.91,,
19,無形資產,23410569.0,0.43,25999155.0,0.52,26706552.0,0.58,,
20,遞延所得稅資產,71030144.0,1.3,69185842.0,1.39,63058097.0,1.36,,
21,其他非流動資產,17372309.0,0.32,12018111.0,0.24,9668867.0,0.21,,
22,非流動資產合計,3402078745.0,62.03,2911882134.0,58.65,2629069408.0,56.62,,
23,資產總額,5484556381.0,100.0,4964778878.0,100.0,4643301766.0,100.0,,
24,流動負債,,,,,,,,
25,透過損益按公允價值衡量之金融負債－流動,132768.0,0.0,116215.0,0.0,611010.0,0.01,,
26,避險之金融負債－流動,26879550.0,0.49,813.0,0.0,0.0,0.0,,
27,應付帳款,52150883.0,0.95,54879708.0,1.11,60147405.0,1.3,,
28,應付帳款－關係人,1621423.0,0.03,1642637.0,0.03,1870819.0,0.04,,
29,其他應付款,452806783.0,8.26,454300789.0,9.15,378819456.0,8.16,,
30,本期所得稅負債,102953391.0,1.88,120801814.0,2.43,76005324.0,1.64,,
31,其他流動負債,333490018.0,6.08,312484841.0,6.29,289977273.0,6.25,,
32,流動負債合計,970034816.0,17.69,944226817.0,19.02,807431287.0,17.39,,
33,非流動負債,,,,,,,,
34,應付公司債,932479423.0,17.0,834336439.0,16.81,842386471.0,18.14,,
35,長期借款,5013050.0,0.09,4760047.0,0.1,3055178.0,0.07,,
36,遞延所得稅負債,212549.0,0.0,1031383.0,0.02,1466389.0,0.03,,
37,租賃負債－非流動,29415325.0,0.54,29764097.0,0.6,30182353.0,0.65,,
38,其他非流動負債,174583111.0,3.18,190171228.0,3.83,206463929.0,4.45,,
39,非流動負債合計,1141703458.0,20.82,1060063194.0,21.35,1083554320.0,23.34,,
40,負債總額,2111738274.0,38.5,2004290011.0,40.37,1890985607.0,40.73,,
41,歸屬於母公司業主之權益,,,,,,,,
42,股本,,,,,,,,
43,普通股股本,259320710.0,4.73,259303805.0,5.22,259303805.0,5.58,,
44,股本合計,259320710.0,4.73,259303805.0,5.22,259303805.0,5.58,,
45,資本公積,,,,,,,,
46,資本公積－發行溢價,33299225.0,0.61,33076016.0,0.67,33076016.0,0.71,,
47,資本公積－實際取得或處分子公司股權價格與帳面價值差額,8406282.0,0.15,8406282.0,0.17,8406282.0,0.18,,
48,資本公積-認列對子公司所有權權益變動數,4210955.0,0.08,4229892.0,0.09,4231119.0,0.09,,
49,資本公積－受贈資產,64955.0,0.0,64955.0,0.0,51750.0,0.0,,
50,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,310627.0,0.01,311863.0,0.01,309904.0,0.01,,
51,資本公積－合併溢額,22803291.0,0.42,22803291.0,0.46,22803291.0,0.49,,
52,資本公積－限制員工權利股票,783883.0,0.01,438029.0,0.01,438029.0,0.01,,
53,資本公積合計,69879218.0,1.27,69330328.0,1.4,69316391.0,1.49,,
54,保留盈餘,,,,,,,,
55,法定盈餘公積,311146899.0,5.67,311146899.0,6.27,311146899.0,6.7,,
56,特別盈餘公積,17228363.0,0.31,3154310.0,0.06,35064663.0,0.76,,
57,未分配盈餘（或待彌補虧損）,2682157537.0,48.9,2323223479.0,46.79,2066562035.0,44.51,,
58,保留盈餘合計,3010532799.0,54.89,2637524688.0,53.12,2412773597.0,51.96,,
59,其他權益,,,,,,,,
60,其他權益合計,8616930.0,0.16,-20505626.0,-0.41,-3419487.0,-0.07,,
61,庫藏股票,0.0,0.0,0.0,0.0,0.0,0.0,,
62,歸屬於母公司業主之權益合計,3348349657.0,61.05,2945653195.0,59.33,2737974306.0,58.97,,
63,非控制權益,24468450.0,0.45,14835672.0,0.3,14341853.0,0.31,,
64,權益總額,3372818107.0,61.5,2960488867.0,59.63,2752316159.0,59.27,,
65,負債及權益總計,5484556381.0,100.0,4964778878.0,100.0,4643301766.0,100.0,,
66,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
67,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
