縣市,鄉鎮市區,門市店名,地址
,,,
基隆市,信義區,OK基隆中興店,基隆市信義區信二路93號1樓
基隆市,仁愛區,OK基隆孝四店,基隆市仁愛區孝四路11號
基隆市,安樂區,OK基隆樂利店,基隆市安樂區樂利三街68號
基隆市,仁愛區,OK基隆光華店,基隆市仁愛區成功一路133巷42-1號
基隆市,中正區,OK基隆海洋店,基隆市中正區新豐街420.422號1樓
基隆市,仁愛區,OK基隆南榮店,基隆市仁愛區南榮路7號
基隆市,暖暖區,OK基隆華城店,基隆市暖暖區碇內街210、212號
基隆市,中正區,OK基隆祥豐店,基隆市中正區祥豐街321號
基隆市,中山區,OK基隆聖心店,基隆市中山區西定路254號
基隆市,仁愛區,OK基隆華三店,基隆市仁愛區華三街20號
基隆市,仁愛區,OK基隆南新店,基隆市仁愛區南新街60號
基隆市,七堵區,OK基隆東新店,基隆市七堵區東新街67、69號
基隆市,中正區,OK基隆新富店,基隆市中正區新豐街251巷7弄35.37號
基隆市,中正區,OK基隆和一店,基隆市中正區和一路86.88號
基隆市,七堵區,OK基隆泰安店,基隆市七堵區泰安路23-12號
基隆市,仁愛區,OK基隆成功店,基隆市仁愛區成功一路43.45號
基隆市,中正區,OK基隆新三益店,基隆市中正區中船路18號1樓
基隆市,中正區,OK基隆信六店,基隆市中正區義二路191號1樓
基隆市,暖暖區,OK基隆源遠店,基隆市暖暖區源遠路299號
基隆市,暖暖區,OK基隆過港店,基隆市暖暖區過港路32號
基隆市,安樂區,OK基隆武德店,基隆市安樂區基金一路208巷108號左 3 . 4 棟店舖1樓
基隆市,仁愛區,OK基隆銘傳店,基隆市仁愛區劉銘傳路15、17號一樓
基隆市,中正區,OK基隆榮昌店,基隆市中正區中正路482號
基隆市,七堵區,OK七堵福五店,基隆市七堵區福五街155、157號一樓
基隆市,中山區,OK基隆文化店,基隆市中山區文化路132號
基隆市,仁愛區,OK基隆英仁店,基隆市仁愛區南榮路387號
基隆市,安樂區,OK基隆新基金店,基隆市安樂區基金一路200號
基隆市,七堵區,OK七堵南興店,基隆市七堵區南興路82號
基隆市,七堵區,OK基隆長安店,基隆市七堵區明德三路45號1樓
基隆市,暖暖區,OK八堵八中店,基隆市暖暖區八堵路82號
基隆市,信義區,OK基隆信義店,基隆市信義區信二路28號
基隆市,中山區,OK基隆新民店,基隆市中山區中山一路25號
基隆市,安樂區,OK基隆樂一店,基隆市安樂區樂一路26號
基隆市,七堵區,OK基隆富民店,基隆市七堵區明德一路104號1樓及地下室1樓
基隆市,中山區,OK基隆全民店,基隆市中山區復興路259巷60號
基隆市,中山區,OK基隆德和店,基隆市中山區復興路212巷5弄4號1樓
基隆市,安樂區,OK基隆武聖店,基隆市安樂區基金三路48號1樓
基隆市,信義區,OK基隆崇右門市,基隆市信義區義七路40號(格致樓一樓)
基隆市,仁愛區,OK基隆延平店,基隆市仁愛區仁二路75號
基隆市,安樂區,OK基隆崇德店,基隆市安樂區崇德路8之5號
基隆市,仁愛區,OK基隆三坑店,基隆市仁愛區龍安街200、200之1號1樓
基隆市,信義區,OK基隆仁義店,基隆市信義區仁一路27號1樓
基隆市,仁愛區,OK基隆獅球店,基隆市仁愛區獅球路41號1樓
基隆市,暖暖區,OK基隆暖碇店,基隆市暖暖區源遠路190號1樓
基隆市,七堵區,OK基隆永富店,基隆市七堵區永富路55號1樓
基隆市,中正區,OK基隆信五店,基隆市中正區義二路174號1樓
基隆市,中正區,OK基隆東岸店,基隆市中正區中船路134號1樓
