縣市,鄉鎮市區,門市店名,地址,y,x
基隆市,仁愛區,全家基隆車站店,基隆市仁愛區中山一路１６之１號,25.134339,121.739539
基隆市,仁愛區,全家基隆鑫仁二店,基隆市仁愛區仁二路１９８號壹樓及地下室,25.128818,121.744854
基隆市,仁愛區,全家基隆仁三店,基隆市仁愛區仁三路５９號壹樓,25.128847,121.742046
基隆市,仁愛區,全家基隆廟口店,基隆市仁愛區仁德里仁三路３３號一樓,25.128415,121.742868
基隆市,仁愛區,全家基隆仁四店,基隆市仁愛區仁四路５２號１樓,25.128379,121.741188
基隆市,仁愛區,全家基隆鑫忠孝店,基隆市仁愛區孝三路５４號壹樓,25.130108,121.739341
基隆市,仁愛區,全家基隆新站前店,基隆市仁愛區忠一路１９號,25.131325,121.739715
基隆市,仁愛區,全家基隆鑫忠二店,基隆市仁愛區忠二路１５號壹樓,25.130023,121.739992
基隆市,仁愛區,全家基隆仁愛店,基隆市仁愛區愛四路５６號１樓及夾層,25.128972,121.744032
基隆市,仁愛區,全家基隆精一店,基隆市仁愛區精一路４１號１樓,25.125948,121.741068
基隆市,信義區,全家基隆新正信店,基隆市信義區正信路１８１號,25.132178,121.760135
基隆市,信義區,全家基隆東信店,基隆市信義區東信路５號,25.127675,121.767724
基隆市,信義區,全家基隆信一店,基隆市信義區信一路１４８號,25.129631,121.74677
基隆市,信義區,全家基隆信義店,基隆市信義區信二路２３６－２號,25.129659,121.751548
基隆市,信義區,全家基隆深美店,基隆市信義區教忠街１０８號壹樓,25.136516,121.778702
基隆市,信義區,全家基隆新深溪店,基隆市信義區深溪路５９號,25.132781,121.782039
基隆市,信義區,全家基隆新澳坑店,基隆市信義區深澳坑路１０７號,25.126147,121.78573
基隆市,中正區,全家基隆新祥豐店,基隆市中正區中正路６２３號壹樓,25.151282,121.771717
基隆市,中正區,全家基隆正港店,基隆市中正區中正路６４４號,25.151033,121.766893
基隆市,中正區,全家基隆鑫港店,基隆市中正區中正路１８號壹樓,25.132779,121.74454
基隆市,中正區,全家基隆新中船店,基隆市中正區中船路８２號,25.137445,121.751056
基隆市,中正區,全家基隆富港店,基隆市中正區北寧路２５０－８號１．２樓,25.145926,121.783337
基隆市,中正區,全家基隆海大店,基隆市中正區北寧路２號,25.150867,121.772389
基隆市,中正區,全家基隆海洋店,基隆市中正區北寧路２號,25.150867,121.772389
基隆市,中正區,全家基隆二信店,基隆市中正區立德路２４３號壹樓,25.143869,121.76974
基隆市,中正區,全家基隆新和一店,基隆市中正區和一路１１０號,25.155053,121.765795
基隆市,中正區,全家基隆欣豐店,基隆市中正區新豐街３８１號,25.135359,121.785663
基隆市,中正區,全家基隆新義二店,基隆市中正區義二路３４號,25.131062,121.745424
基隆市,中正區,全家基隆觀海店,基隆市中正區砂子里觀海街１３６號１３８號一樓,25.137099,121.795151
基隆市,中正區,全家基隆觀山店,基隆市中正區觀海街６１號,25.138375,121.793451
基隆市,中山區,全家基隆中山店,基隆市中山區中山二路５３號．５３－１號,25.13809,121.740313
基隆市,中山區,全家基隆囍旺店,基隆市中山區中和路８５巷１２號１、２樓,25.148235,121.720787
基隆市,中山區,全家基隆鑫大慶店,基隆市中山區中和路１６８巷２弄１７號,25.149806,121.716965
基隆市,中山區,全家基隆華復店,基隆市中山區通化里中華路２號復旦路１號３號一樓,25.145476,121.738675
基隆市,中山區,全家基隆樂華店,基隆市中山區西康里西定路４６７號１樓,25.140642,121.727389
基隆市,中山區,全家基隆經國店,基隆市中山區復興路３３６－１號,25.150676,121.727983
基隆市,中山區,全家基隆新復興店,基隆市中山區復興路２０４－１號,25.145978,121.726615
基隆市,安樂區,全家基隆新安和店,基隆市安樂區安和一街１２４號,25.125775,121.723673
基隆市,安樂區,全家基隆新樂強店,基隆市安樂區安樂路一段２０６號１樓,25.127989,121.73248
基隆市,安樂區,全家基隆長庚店,基隆市安樂區安樂路二段１５７號,25.120803,121.723493
基隆市,安樂區,全家基隆武勝店,基隆市安樂區武訓街７２號壹樓,25.148534,121.699493
基隆市,安樂區,全家基隆武嶺店,基隆市安樂區武嶺街１８１－６號１樓,25.138508,121.710208
基隆市,安樂區,全家基隆情人湖店,基隆市安樂區基金一路２０８巷２００號Ｂ１,25.149254,121.707775
基隆市,安樂區,全家基隆新國揚店,基隆市安樂區基金一路１２１巷１４號,25.137979,121.717592
基隆市,安樂區,全家基隆萬金店,基隆市安樂區基金一路１４６號之地下室,25.140588,121.71172
基隆市,安樂區,全家基隆基金店,基隆市安樂區基金三路１４５號,25.156583,121.695374
基隆市,安樂區,全家基隆長樂店,基隆市安樂區麥金路２２２號地下一樓（基隆長庚醫院）,25.12091,121.722356
基隆市,安樂區,全家基隆金城店,基隆市安樂區麥金路２３１－１號,25.121775,121.721052
基隆市,安樂區,全家基隆樂富店,基隆市安樂區壯觀里樂利二街６２巷２１２號一樓,25.121289,121.716831
基隆市,安樂區,全家基隆龍騰店,基隆市安樂區樂利三街８巷１６號底四層,25.129359,121.718614
基隆市,安樂區,全家基隆新樂群店,基隆市安樂區樂利三街１２８號,25.126443,121.715729
基隆市,安樂區,全家基隆樂利店,基隆市安樂區樂利三街３２巷１２號,25.126775,121.71245
基隆市,暖暖區,全家八堵車站店,基隆市暖暖區八堵路１４２號,25.108373,121.72897
基隆市,暖暖區,全家基隆暖盛店,基隆市暖暖區暖暖街２２０號壹樓及夾層,25.098533,121.734792
基隆市,暖暖區,全家基隆暖東店,基隆市暖暖區暖暖街１６３號,25.09974,121.736321
基隆市,暖暖區,全家基隆暖鑫店,基隆市暖暖區暖暖街４６１號壹樓,25.092936,121.736925
基隆市,暖暖區,全家基隆暖錠店,基隆市暖暖區源遠路１８９號,25.098502,121.751337
基隆市,暖暖區,全家基隆暖港店,基隆市暖暖區過港路２５４號,25.110229,121.733828
基隆市,暖暖區,全家基隆吉市店,基隆市暖暖區碇內街１８８－９號壹樓及夾層,25.092035,121.754144
基隆市,七堵區,全家七堵工明店,基隆市七堵區工建路１－１５號壹樓,25.088686,121.701844
基隆市,七堵區,全家七堵永富店,基隆市七堵區永平里永富路１２０號、崇智街４８號一樓,25.099258,121.713875
基隆市,七堵區,全家七堵自治店,基隆市七堵區自治街６號,25.096878,121.712473
基隆市,七堵區,全家七堵新明德店,基隆市七堵區明德二路１５－５３號,25.08838,121.705335
基隆市,七堵區,全家七堵長安店,基隆市七堵區長安街２１２巷２－４號一樓及地下室,25.074853,121.695965
基隆市,七堵區,全家七堵大興店,基隆市七堵區南興路３０號１樓,25.097449,121.714274
基隆市,七堵區,全家基隆百福店,基隆市七堵區百福里福二街２０４號１樓,25.083758,121.696215
台北市,中正區,全家新德店,台北市中正區八德路一段４３巷２號,25.044475,121.531597
台北市,中正區,全家台大醫院店,台北市中正區中山南路７號Ｂ１樓,25.040793,121.518534
台北市,中正區,全家新惠安店,台北市中正區中華路二段３０７巷４６號,25.02953,121.506467
台北市,中正區,全家南機場店,台北市中正區中華路二段３１１巷１號１樓,25.028401,121.505774
台北市,中正區,全家高鐵一店,台北市中正區北平西路３號Ｂ１東側,25.047203,121.517044
台北市,中正區,全家高鐵二店,台北市中正區北平西路３號Ｂ１西側,25.047203,121.517044
臺北市,中正區,全家台鐵西店,臺北市中正區北平西路３號（西南站）,25.047203,121.517044
臺北市,中正區,全家台鐵北店,臺北市中正區北平西路３號（西北站）,25.047203,121.517044
臺北市,中正區,全家台鐵二店,臺北市中正區北平西路３號Ｂ１,25.047203,121.517044
臺北市,中正區,全家台鐵南店,臺北市中正區北平西路３號（東南站）,25.047203,121.517044
臺北市,中正區,全家台鐵東店,臺北市中正區北平西路３號（東北站）,25.047203,121.517044
臺北市,中正區,全家台鐵一店,臺北市中正區北平西路３號Ｂ１,25.047203,121.517044
台北市,中正區,全家地下街店,台北市中正區市民大道一段100號地下街159號店鋪,25.048322,121.518488
台北市,中正區,全家新龍口店,台北市中正區汀州路一段２４４號,25.027225,121.510372
台北市,中正區,全家新廈門店,台北市中正區汀州路二段３８號１樓,25.025318,121.517592
台北市,中正區,全家金門店,台北市中正區汀州路二段２１６號１樓,25.022299,121.523802
台北市,中正區,全家公館店,台北市中正區汀州路三段２５１號,25.013659,121.534399
台北市,中正區,全家文盛店,台北市中正區汀州路三段１７３號,25.015119,121.532452
台北市,中正區,全家水源店,台北市中正區汀州路三段２６１號,25.012862,121.535183
