縣市,鄉鎮市區,門市店號,門市店名,地址
,,,,
台北市,中正區,4227,北市秋葉原店,100台北市中正區八德路一段82巷10號
台北市,中正區,3625,北市正童店,100台北市中正區中山南路8號B1
台北市,中正區,3576,北市正光店,100台北市中正區市民大道三段8號
台北市,中正區,4199,北市古亭店,100台北市中正區辛亥路一段17巷2號及19號
台北市,中正區,E182,北市和平店,100台北市中正區延平南路210號
台北市,中正區,4898,中正大忠門,100台北市中正區信義路一段13之1號一樓
台北市,中正區,2457,北市正泉店,100台北市中正區泉州街31、33號、寧波西街104號一樓
台北市,中正區,2284,北市正台店,100台北市中正區常德街1號
台北市,中正區,3936,北市台大店,100台北市中正區常德街1號B1
台北市,中正區,4096,北市正忠店,100台北市中正區梅花里８鄰忠孝東路一段３５號一樓全部
台北市,中正區,2895,北市正東店,100台北市中正區紹興南街4之12號
台北市,中正區,3768,北市司法店,100台北市中正區博愛路 131號B1
台北市,中正區,4321,北市高院店,100台北市中正區博愛路127號
台北市,中正區,3611,北市正慶店,100台北市中正區衡陽路103號
台北市,中正區,3934,北市正寶店(暫歇中),100台北市中正區寶慶路35號
台北市,大同區,2845,北市同京店,103台北市大同區西寧北路35號
台北市,大同區,3633,北市延年店,103台北市大同區延平北路3段40號
台北市,大同區,2792,北市同達店,103台北市大同區延平北路二段114.116.118號及民生西路335號
台北市,大同區,D010,北市延平店,103台北市大同區延平北路二段255-1號
台北市,大同區,3685,北市京承店,103台北市大同區承德路一段1號
台北市,大同區,3683,北市京站店,103台北市大同區承德路一段1號
台北市,大同區,4232,北市同承店,103台北市大同區承德路三段284及286號
台北市,大同區,2389,北市同吉店,103台北市大同區昌吉街63號
台北市,大同區,3088,北市同蝶店,103台北市大同區南京西路30號
台北市,大同區,3570,北市雙蝶店,103台北市大同區南京西路64巷9弄2號
台北市,大同區,2707,北市同密店,103台北市大同區哈密街59巷21號
台北市,大同區,E090,北市迪化店,103台北市大同區迪化街一段50號
台北市,大同區,3080,北市同安店,103台北市大同區重慶北路一段63號
台北市,大同區,3686,北市圓捷店,103台北市大同區酒泉街15號
台北市,中山區,B044,北市中山店,104台北市中山區中山北路二段137巷2號
台北市,中山區,4472,中山逸仙店,104台北市中山區中山北路二段48巷7號B1(4號店鋪)
台北市,中山區,4728,中山國賓店,104台北市中山區中山北路二段65巷6號1、2樓
台北市,中山區,4957,中山美妍店,104台北市中山區中山北路二段93巷5及5-1號 
台北市,中山區,3225,北市大同店,104台北市中山區中山北路三段40號
台北市,中山區,B098,北市中原二店,104台北市中山區中原街77號
台北市,中山區,3449,北市山擎店,104台北市中山區天祥路70號
台北市,中山區,B048,北市民生店,104台北市中山區民生西路2號
台北市,中山區,B876,北市馬偕店,104台北市中山區民生西路3巷2號
台北市,中山區,4931,中山合江店,104台北市中山區合江街61巷1號1樓全部
台北市,中山區,4883,中山八達店,104台北市中山區林森北路107巷86號1樓全部
台北市,中山區,4647,中山晶華店,104台北市中山區林森北路258號
台北市,中山區,3899,北市永捷店,104台北市中山區松江路27號
台北市,中山區,4055,北市長松店,104台北市中山區松江路50號
台北市,中山區,L518,車麗屋松江店,104台北市中山區松江路550號
台北市,中山區,2407,北市山寧店,104台北市中山區長安東路二段171-7號
台北市,中山區,2425,北市山華店,104台北市中山區長春路208號
台北市,中山區,2860,北市山德店,104台北市中山區德惠街109號
台北市,中山區,2051,北市新喜店,104台北市中山區德惠街167巷2號
台北市,中山區,4752,中山錦東店,104台北市中山區錦州街32之1號及32之2號
台北市,中山區,4551,中山榮耀店,104台北市中山區龍江路333號及331巷1號
台北市,中山區,4640,中山力行店,104台北市中山區龍江路47號
台北市,松山區,2797,北市松育店,105台北市松山區八德路3段119號
台北市,松山區,B156,北市敦化店,105台北市松山區八德路三段12巷51弄2號
台北市,松山區,B157,北市民權二店,105台北市松山區民權東路五段32號
台北市,松山區,3536,北市松柏店,105台北市松山區光復北路102號
台北市,松山區,4519,松山無雙店,105台北市松山區光復南路13巷16號
台北市,松山區,4969,松山延吉店,105台北市松山區延吉街44號1樓全部
台北市,松山區,3395,北市松清店,105台北市松山區南京東路5段250巷3-1號
台北市,松山區,3656,北市寶德店,105台北市松山區南京東路5段61號及63號
台北市,松山區,4865,松山新聚店,105台北市松山區南京東路五段250巷18弄20、20之1號
台北市,松山區,2451,北市松華店,105台北市松山區南京東路五段34號
台北市,松山區,2506,北市松康店,105台北市松山區健康路325巷12弄2號
台北市,松山區,4234,北市新樸實店,105台北市松山區寧安街12號(育達高職樸實樓一樓107教室)
台北市,松山區,3731,北市家聲店,105台北市松山區寧安街12號
台北市,松山區,2690,北市松遠店,105台北市松山區撫遠街369巷36號
台北市,松山區,4740,松山撫遠店,105台北市松山區撫遠街394巷1號、3號
台北市,松山區,2169,北市饒河店,105台北市松山區饒河街35號
台北市,大安區,4936,大安仁醫店,106台北市大安區仁愛路四段10號B1
台北市,大安區,2316,北市安國店,"106台北市大安區光復南路290巷25號,25-1號"
台北市,大安區,4177,北市居安店,106台北市大安區安居街15號
台北市,大安區,4473,大安學霸店,106台北市大安區辛亥路三段30號(研三宿舍)
台北市,大安區,2479,北市安華店,106台北市大安區延吉街131巷43號
台北市,大安區,4987,大安東區店,106台北市大安區延吉街160巷11號
台北市,大安區,2793,北市安皓店,106台北市大安區忠孝東路4段181巷8號
台北市,大安區,3351,北市安孝店,106台北市大安區忠孝東路三段287號
台北市,大安區,2001,北市杭州店,106台北市大安區杭州南路二段5號
台北市,大安區,2639,北市安建店,106台北市大安區建國南路一段337號
台北市,大安區,4513,大安人生店,106台北市大安區基隆路三段155巷57號(臺大癌醫中心醫院)
台北市,大安區,4803,大安台科大店,106台北市大安區基隆路四段43號(第一學生宿舍1樓B區)
台北市,大安區,3979,北市安興店,106台北市大安區復興南路2段148號1樓全部
台北市,大安區,2421,北市安復店,106台北市大安區復興南路一段135巷21號
台北市,大安區,3271,北市臨江店,106台北市大安區臨江街40巷2號
台北市,大安區,2182,北市羅斯福店,106台北市大安區羅斯福路二段75之1號
台北市,大安區,4633,大安溫州店,106台北市大安區羅斯福路三段283巷11號一樓
台北市,大安區,4726,大安新台大店,106台北市大安區羅斯福路四段1號
台北市,萬華區,4812,萬華內江店,108台北市萬華區內江街126、128號一樓
台北市,萬華區,4226,北市民和店,108台北市萬華區民和街10及12號
台北市,萬華區,4249,北市華園店,108台北市萬華區西園路一段168、170號
台北市,萬華區,3908,北市萬鑫店,108台北市萬華區西園路二段134、136、138號
台北市,萬華區,E968,北市獅子林店,"108台北市萬華區西寧南路36之69,71.72.73.74號"
台北市,萬華區,3497,北市萬寧店,108台北市萬華區長沙街二段50號
台北市,萬華區,E119,北市梧州店,108台北市萬華區梧州街29號
台北市,萬華區,3761,北市鑫梧店,108台北市萬華區梧州街55號
台北市,萬華區,4159,北市班客店,108台北市萬華區廣州街247號
台北市,萬華區,4082,北市華德店,108台北市萬華區德昌街241、243、245號
台北市,萬華區,4461,萬華環州店,108台北市萬華區環河南路二段96號1樓及2樓全部，98號1樓部份
台北市,萬華區,3597,北市艋舺店,108台北市萬華區雙園街69號
台北市,信義區,2982,北市信北店,110台北市信義區中坡北路17.19號
台北市,信義區,4556,信義首府店,110台北市信義區市府路1號(B2便利生活空間)
台北市,信義區,V002,首府和盟店,110台北市信義區市府路1號B2
台北市,信義區,2729,北市信吉店,110台北市信義區永吉路125號一樓
台北市,信義區,B643,北市松永店,110台北市信義區永吉路280號
台北市,信義區,B056,北市林口店,110台北市信義區林口街36號
