縣市,鄉鎮市區,門市名稱,地址,緯度,經度
南投縣,南投市,南投,南投縣南投市復興路137號,23.905816,120.687344
南投縣,南投市,南投2,南投縣南投市彰南路二段26號,23.908719,120.684949
南投縣,名間鄉,名間,南投縣名間鄉南雅街100號,23.837646,120.702245
南投縣,埔里鎮,埔里,南投縣埔里鎮南盛街120號,23.962934,120.966794
南投縣,埔里鎮,埔里2,南投縣埔里鎮中正路463號,23.966464,120.965919
南投縣,水里鄉,水里,南投縣水里鄉民生路433號,23.817852,120.853592
南投縣,竹山鎮,竹山,南投縣竹山鎮集山路三段959號,23.755927,120.681936
南投縣,草屯鎮,草屯,南投縣草屯鎮太平路二段262號,23.976955,120.684056
台中市,中區,台中,台中市中區繼光街88號,24.138787,120.682728
台中市,中區,中站,台中市中區臺灣大道一段25號,24.137983,120.684353
台中市,北區,三民,台中市北區三民路三段92-3號,24.148933,120.683887
台中市,北區,漢口,台中市北區漢口路三段184號,24.166889,120.672333
台中市,北區,學士,台中市北區健行路449-1號,24.159005,120.679736
台中市,北屯區,崇德,台中市北屯區崇德路二段65號,24.170744,120.685158
台中市,北屯區,水湳,台中市北屯區中清路二段216號,24.177467,120.669452
台中市,北屯區,昌平,台中市北屯區昌平路一段157號,24.176468,120.690041
台中市,北屯區,東山,台中市北屯區東山路一段250號,24.175548,120.718081
台中市,北屯區,崇德2,台中市北屯區崇德二路一段97號,24.176133,120.696248
台中市,南區,美南,台中市南區美村南路78號,24.116191,120.666933
台中市,南區,復中,台中市南區台中路64號,24.133903,120.683078
台中市,南區,興大,台中市南區學府路65號,24.124724,120.674986
台中市,南區,忠明,台中市南區忠明南路797號,24.123074,120.661106
台中市,南屯區,黎明,台中市南屯區黎明路二段417號,24.151459,120.635026
台中市,南屯區,南屯,台中市南屯區南屯路二段391號,24.13814,120.643768
台中市,南屯區,黎新,台中市南屯區黎明路一段1010號,24.138321,120.637669
台中市,南屯區,新大墩,台中市南屯區大墩路556號,24.149251,120.650111
台中市,南屯區,嶺東,台中市南屯區永春南路52號,24.138459,120.610508
台中市,南屯區,河南,台中市南屯區河南路四段502號,24.147028,120.638131
台中市,南屯區,楓樹,台中市南屯區黎明路一段153號,24.115739,120.626528
台中市,后里區,后里,台中市后里區甲后路一段447號,24.314542,120.689207
台中市,大甲區,大甲,台中市大甲區蔣公路7號,24.344557,120.62607
台中市,大肚區,大肚,台中市大肚區沙田路二段753號,24.153764,120.54448
台中市,大里區,大里,台中市大里區中興路二段470號,24.109782,120.689971
台中市,大里區,仁化,台中市大里區仁化路563號,24.096304,120.699003
台中市,大里區,新塗城,台中市大里區成功路536號,24.090991,120.7034
台中市,大雅區,大雅,台中市大雅區中清東路197號,24.224317,120.647299
台中市,太平區,太平,台中市太平區太平路472-1號,24.124891,120.715005
台中市,太平區,太平二,台中市太平區中興路121號,24.126674,120.714937
台中市,太平區,新平,台中市太平區中山路三段121號,24.148571,120.716385
台中市,太平區,勤益,台中市太平區中山路一段215巷1號,24.142938,120.732779
台中市,東勢區,東勢,台中市東勢區豐勢路264號,24.251852,120.830228
台中市,東區,精武,台中市東區精武東路105號,24.149498,120.709589
台中市,東區,復站,台中市東區復興路四段217號,24.136487,120.687468
台中市,梧棲區,梧棲,台中市梧棲區文化路二段202號,24.256495,120.531684
台中市,沙鹿區,沙鹿,台中市沙鹿區中山路246號,24.237919,120.561383
台中市,沙鹿區,沙田,台中市沙鹿區中正街55號,24.236395,120.559099
台中市,沙鹿區,靜宜,台中市沙鹿區台灣大道七段259號,24.226417,120.576182
台中市,清水區,清水,台中市清水區中山路126-7號,24.268497,120.575422
台中市,潭子區,潭子,台中市潭子區勝利路213號,24.212799,120.700553
台中市,烏日區,烏日,台中市烏日區興祥街46號,24.108355,120.637944
台中市,西區,精誠,台中市西區精誠路154號,24.152449,120.655076
台中市,西區,公益,台中市西區公益路175號,24.150708,120.661433
台中市,西區,美村,台中市西區美村路一段686號,24.135254,120.661551
台中市,西區,美村二,台中市西區美村路一段22號,24.154665,120.661733
台中市,西屯區,逢甲,台中市西屯區福星路427號,24.179148,120.645236
台中市,西屯區,西屯,台中市西屯區西屯路二段16-1號,24.178821,120.640722
台中市,西屯區,永福,台中市西屯區永福路137號,24.184608,120.620738
台中市,西屯區,文華,台中市西屯區西屯路二段269-50號,24.174566,120.644268
台中市,西屯區,特易發,台中市西屯區青海路二段207-18號B1,24.170472,120.644874
台中市,西屯區,青海,台中市西屯區青海路一段174號,24.165615,120.652896
台中市,西屯區,精誠二,台中市西屯區精誠路18號,24.157087,120.656962
台中市,西屯區,中工,台中市西屯區中工三路162號,24.177316,120.61801
台中市,西屯區,福星,台中市西屯區福星北路5號,24.182639,120.644728
台中市,豐原區,豐原,台中市豐原區中正路147號,24.251579,120.719794
台中市,豐原區,向陽,台中市豐原區向陽路269號,24.251391,120.728155
台中市,豐原區,豐功,台中市豐原區成功路148號,24.244604,120.710034
台中市,霧峰區,新霧峰,台中市霧峰區中正路841號,24.064481,120.698668
台中市,龍井區,東海,台中市龍井區新興路2號,24.18144,120.592488
台北市,中山區,大直,台北市中山區北安路520-4號,25.079693,121.546254
台北市,中山區,農安,台北市中山區雙城街14號,25.064805,121.52441
台北市,中山區,松江,台北市中山區松江路287號,25.060441,121.533369
台北市,中山區,雙連,台北市中山區民生西路54號,25.057627,121.521145
台北市,中山區,復北,台北市中山區復興北路60號,25.05022,121.543869
台北市,中山區,龍江,台北市中山區龍江路283號,25.060338,121.540837
台北市,中山區,實踐,台北市中山區大直街43號,25.082668,121.546467
台北市,中山區,長春,台北市中山區長春路184號,25.054732,121.534723
台北市,中山區,伊通,台北市中山區南京東路二段178號,25.05182,121.535011
台北市,中山區,民捷,台北市中山區民權西路64號,25.062632,121.52008
台北市,中山區,林森,台北市中山區林森北路380號,25.058361,121.525387
